"vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"School*",1,30,1.83333333333333,0.985527456652574,2,1.66666666666667,1.4826,1,5,4,1.36585550290639,1.75008986613447,0.179931873016437
"Section",2,30,5.9,3.89827548079121,5.5,5.70833333333333,5.1891,1,13,12,0.248276744594716,-1.3731292348039,0.711724472066214
"VeryAhead",3,30,0,0,0,0,0,0,0,0,NA,NA,0
"Middling",4,30,7.4,3.90931689949659,7.5,7.08333333333333,3.7065,2,19,17,0.733247845759183,0.621436527692701,0.713740350096813
"Behind",5,30,25.1333333333333,13.9351535961082,22,24.25,14.0847,4,56,52,0.448271924234843,-0.693528138263721,2.54419932229589
"MoreBehind",6,30,3.33333333333333,3.28353608102641,2,2.79166666666667,1.4826,0,12,12,1.24496693903708,0.56844766420714,0.599488926653426
"VeryBehind",7,30,6.96666666666667,6.27245391859674,5.5,6.29166666666667,6.6717,0,24,24,0.802207618992893,-0.194324180715289,1.1451881673757
"Completed",8,30,10.5333333333333,6.00421308021656,10,10.125,5.9304,1,27,26,0.696787673684515,-0.0300939549931192,1.09621431470073
